param,Estimate,Std. Error,z value,Pr(>|z|),rr,rr_lower,rr_upper
(Intercept),-11.2406432061321,0.0517087688922146,-217.383694234974,0,1.31295754288491e-05,1.18641134200003e-05,1.45300154203882e-05
post_dobbs,-0.852351310637447,0.105247106078014,-8.09857242065773,5.56078567353284e-16,0.426411127263424,0.346928823889034,0.524103034783358
ban_factorGestational limit 19+wk,0.042716642228284,0.0597752234674332,0.714621205081014,0.474843138157399,1.0436421288407,0.928260572973507,1.17336545879798
ban_factorGestational limit <=18wk,0.19988547998968,0.064883704350094,3.08067305946583,0.00206533292782605,1.22126289111264,1.0754222976501,1.38688127674853
ban_factorTotal ban,0.402653840068819,0.0605544832288731,6.64944721841551,2.94195823259995e-11,1.49578901981135,1.32838916351463,1.68428413392697
raceBlack or African American,0.761506956158053,0.0921289869574161,8.26566080130716,1.38923043377404e-16,2.14150093815873,1.78770762327428,2.56531113277638
post_dobbs:ban_factorGestational limit 19+wk,0.319333123670852,0.11848244262388,2.69519362193239,0.00703477393196323,1.37620969658056,1.09101399683111,1.73595676541585
post_dobbs:ban_factorGestational limit <=18wk,0.135262173224384,0.12914367938889,1.04737741610311,0.294925543465212,1.14483689058869,0.888820977953028,1.47459560312272
post_dobbs:ban_factorTotal ban,0.338913399311916,0.119308440685939,2.84064897138377,0.00450218394687528,1.40342180265619,1.11078709159813,1.77315056239716
post_dobbs:raceBlack or African American,0.48118497432339,0.166972161532894,2.88182754481858,0.00395376063019315,1.61799054392934,1.16639703203676,2.24442735049952
ban_factorGestational limit 19+wk:raceBlack or African American,0.0548285763767997,0.107885503100693,0.508210786444835,0.611305527160587,1.05635951417816,0.855022914601878,1.30510586808579
ban_factorGestational limit <=18wk:raceBlack or African American,0.239199223802724,0.10883630907199,2.19778882472488,0.0279641581841149,1.27023157174175,1.02621785449181,1.57226678408214
ban_factorTotal ban:raceBlack or African American,-0.0874326364304206,0.1095430991232,-0.798157411377299,0.42477914850026,0.916280593503467,0.739236700670344,1.13572570905873
post_dobbs:ban_factorGestational limit 19+wk:raceBlack or African American,-0.297396282520255,0.19316442854029,-1.53960169979342,0.123657470899438,0.742749615344109,0.508648249882388,1.08459429718157
post_dobbs:ban_factorGestational limit <=18wk:raceBlack or African American,-0.206036450103265,0.197396394604918,-1.04377007754189,0.296591778694238,0.813803412523877,0.552703612798374,1.19824799205195
post_dobbs:ban_factorTotal ban:raceBlack or African American,-0.289650266228266,0.194937398933616,-1.48586298890191,0.137315365017533,0.748525306385088,0.510825329507002,1.09683310896041
